Jugador,¿Europa?,Posicion,Edad,Goles,Tiros Totales,xG,npxG,xAG,Acciones_que_crean_tiros,Pases_intentados,Pases_progresivos,Regates_exitosos,Pases_medios_completados,Pases_largos_completados,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Duelos_aereos_ganados,market_value
Benjamin Andre,1,Mediocampista,34.78630136986301,0.0,0.5333333333333333,0.04666666666666666,0.04666666666666666,0.06666666666666667,1.7666666666666666,61.0,5.84,0.3,21.2,4.071428571428571,0.06551724137931035,5.181818181818182,58.857142857142854,1.9,0.03333333333333333,0.5333333333333333,52.86666666666667,0.2413793103448276,1.8666666666666667,0.0,14.333333333333334,1.5,0.2413793103448276,1.1,1.3793103448275863,1.1,49.5,2.4,1.3928571428571428,1.6666666666666667,5000000.0
Benjamin Dominguez,0,Delantero,21.660273972602738,0.125,1.0869565217391304,0.05217391304347826,0.05217391304347826,0.03333333333333333,1.7083333333333333,14.5,1.3333333333333333,0.8181818181818182,2.6666666666666665,0.5416666666666666,0.025000000000000005,0.5,14.166666666666666,0.20833333333333334,0.08333333333333333,0.4583333333333333,11.333333333333334,0.125,0.2916666666666667,0.0,13.958333333333334,2.2916666666666665,1.2380952380952381,0.9130434782608695,1.4545454545454546,1.0,17.5,4.454545454545454,0.4166666666666667,0.08333333333333333,15000000.0
Benjamin Lecomte,1,Portero,34.038356164383565,0.0,0.0,0.0,0.0,0.0,0.3389830508474576,34.74576271186441,0.03389830508474576,0.0,9.220338983050848,6.933333333333334,0.0,0.8813559322033898,25.372881355932204,8.818181818181818,0.0,0.0,23.45762711864407,0.06779661016949153,0.6271186440677966,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.0,18.677966101694917,0.0,0.0,0.15254237288135594,150000.0
Benjamin Pavard,1,Defensa,29.08219178082192,0.0,0.34782608695652173,0.021739130434782608,0.021739130434782608,0.034782608695652174,0.9130434782608695,50.0,3.6818181818181817,0.0,23.347826086956523,4.130434782608695,0.034782608695652174,2.9523809523809526,48.21739130434783,1.6956521739130435,0.0,0.4782608695652174,45.65217391304348,0.08695652173913043,1.9090909090909092,0.0,7.043478260869565,1.5217391304347827,0.043478260869565216,0.8695652173913043,0.21739130434782608,0.043478260869565216,43.30434782608695,1.1304347826086956,0.782608695652174,1.4545454545454546,25000000.0
Benjamin Siegrist,1,Portero,33.30958904109589,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0.0,0.0,12.0,9.5,0.0,0.0,26.0,10.5,0.0,0.0,24.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,15000000.0
Benoit Badiashile,1,Defensa,23.972602739726028,0.0,0.0,0.0,0.0,0.0,0.0,50.25,3.4,0.0,27.0,4.2,0.0,2.6666666666666665,47.5,3.0,0.0,0.0,45.25,0.2,2.4,0.0,2.6,0.0,0.2,1.0,0.2,0.0,49.4,0.4,1.2,1.6,22000000.0
Berat Djimsiti,1,Defensa,32.26027397260274,0.029411764705882353,0.5882352941176471,0.07941176470588236,0.06060606060606061,0.03529411764705883,0.8823529411764706,49.73529411764706,2.9393939393939394,0.029411764705882353,21.242424242424242,3.176470588235294,0.011764705882352941,2.4705882352941178,47.470588235294116,2.2058823529411766,0.029411764705882353,0.3235294117647059,43.61764705882353,0.058823529411764705,2.793103448275862,0.0,6.588235294117647,1.121212121212121,0.029411764705882353,1.0,0.29411764705882354,0.029411764705882353,38.911764705882355,1.2352941176470589,0.5757575757575758,1.7037037037037037,6000000.0
Bernard Nguene,0,Delantero,18.454794520547946,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,100000.0
Bernardo Silva,1,Mediocampista,30.78904109589041,0.125,0.9696969696969697,0.10312500000000001,0.10312500000000001,0.07241379310344828,2.4193548387096775,54.03030303030303,4.0606060606060606,0.75,16.78787878787879,2.484848484848485,0.121875,2.6363636363636362,50.121212121212125,3.878787878787879,0.12121212121212122,1.5625,46.878787878787875,0.030303030303030304,0.9696969696969697,0.0,20.8,3.0357142857142856,0.7878787878787878,1.5,0.7575757575757576,0.9375,44.78125,5.0344827586206895,0.8181818181818182,0.15151515151515152,38000000.0
Bernd Leno,1,Portero,33.224657534246575,0.0,0.0,0.0,0.0,0.005263157894736842,0.15789473684210525,36.94736842105263,0.0,0.0,17.216216216216218,5.5,0.0,0.42105263157894735,30.526315789473685,6.394736842105263,0.0,0.0,30.236842105263158,0.02631578947368421,0.2894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.68421052631579,0.0,0.0,0.23684210526315788,10000000.0
